1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
300	-0.077994	274.228998	0.009862	4.1
301	-0.069335	273.819497	0.004542	4.3
302	-0.053416	273.411623	0.004030	5.4
303	-0.070559	273.005365	0.003615	7.2
304	-0.384614	272.600712	0.006361	4.5
305	-0.010710	272.197655	0.001819	4.9
306	-0.097344	271.796184	0.008528	3.7
307	-0.204816	271.396287	0.006333	4.0
308	-0.242614	270.997956	0.007425	4.6
309	-0.312125	270.601180	0.005578	5.2
310	-0.343242	270.205949	0.011514	3.9
311	-0.261990	269.812254	0.008574	4.4
312	-0.009564	269.420085	0.003787	4.5
313	-0.436645	269.029432	0.006459	5.1
314	-0.452906	268.640287	0.012758	3.9
315	-0.074292	268.252638	0.012236	4.4
316	-0.009745	267.866478	0.002224	4.3
317	-0.007204	267.481796	0.001998	6.0
318	-0.049851	267.098584	0.005978	5.3
319	-0.007987	266.716833	0.003596	6.9
320	-0.270852	266.336533	0.004997	4.4
321	-0.342402	265.957676	0.007077	5.2
322	-0.338715	265.580253	0.008735	8.9
323	-0.264229	265.204254	0.013369	16.3
324	-0.400200	264.829672	0.006575	7.0
325	-0.009216	264.456497	0.001908	6.5
326	-0.329975	264.084721	0.006336	5.0
327	-0.027816	263.714335	0.005080	4.7
328	-0.534594	263.345332	0.008703	4.1
329	-0.009954	262.977702	0.001393	4.8
330	-0.330295	262.611438	0.009527	3.8
331	-0.080202	262.246531	0.011911	4.0
332	-0.015580	261.882973	0.002074	4.1
333	-0.084493	261.520756	0.012921	5.6
334	-0.336341	261.159871	0.007908	4.6
335	-0.018289	260.800312	0.003438	4.8
336	-0.010918	260.442070	0.003108	6.7
337	-0.031826	260.085137	0.005067	5.0
338	-0.010481	259.729505	0.004352	4.1
339	-0.121091	259.375167	0.004913	5.2
340	-0.018320	259.022116	0.002599	4.8
341	-0.015351	258.670343	0.003345	4.4
342	-0.312103	258.319841	0.008663	6.2
343	-0.010562	257.970602	0.002115	4.8
344	-0.323481	257.622620	0.007618	3.9
345	-0.015790	257.275887	0.005345	4.3
